celda_id,lat_min,lat_max,lon_min,lon_max,lat_centro,lon_centro,area_km2
1,6.15,6.1545000000000005,-75.71,-75.7055,6.15225,-75.70774999999999,0.2495
2,6.15,6.1545000000000005,-75.7055,-75.70100000000001,6.15225,-75.70325,0.2495
3,6.15,6.1545000000000005,-75.70100000000001,-75.69650000000001,6.15225,-75.69875,0.2495
4,6.15,6.1545000000000005,-75.69650000000001,-75.69200000000002,6.15225,-75.69425000000001,0.2495
5,6.15,6.1545000000000005,-75.69200000000002,-75.68750000000003,6.15225,-75.68975000000002,0.2495
6,6.15,6.1545000000000005,-75.68750000000003,-75.68300000000004,6.15225,-75.68525000000002,0.2495
7,6.15,6.1545000000000005,-75.68300000000004,-75.67850000000004,6.15225,-75.68075000000003,0.2495
8,6.15,6.1545000000000005,-75.67850000000004,-75.67400000000005,6.15225,-75.67625000000004,0.2495
9,6.15,6.1545000000000005,-75.67400000000005,-75.66950000000006,6.15225,-75.67175000000005,0.2495
10,6.15,6.1545000000000005,-75.66950000000006,-75.66500000000006,6.15225,-75.66725000000005,0.2495
11,6.15,6.1545000000000005,-75.66500000000006,-75.66050000000007,6.15225,-75.66275000000006,0.2495
12,6.15,6.1545000000000005,-75.66050000000007,-75.65600000000008,6.15225,-75.65825000000007,0.2495
13,6.15,6.1545000000000005,-75.65600000000008,-75.65150000000008,6.15225,-75.65375000000007,0.2495
14,6.15,6.1545000000000005,-75.65150000000008,-75.64700000000009,6.15225,-75.64925000000008,0.2495
15,6.15,6.1545000000000005,-75.64700000000009,-75.6425000000001,6.15225,-75.64475000000009,0.2495
16,6.15,6.1545000000000005,-75.6425000000001,-75.6380000000001,6.15225,-75.6402500000001,0.2495
17,6.15,6.1545000000000005,-75.6380000000001,-75.63350000000011,6.15225,-75.6357500000001,0.2495
18,6.15,6.1545000000000005,-75.63350000000011,-75.62900000000012,6.15225,-75.63125000000011,0.2495
19,6.15,6.1545000000000005,-75.62900000000012,-75.62450000000013,6.15225,-75.62675000000011,0.2495
20,6.15,6.1545000000000005,-75.62450000000013,-75.62000000000013,6.15225,-75.62225000000012,0.2495
21,6.15,6.1545000000000005,-75.62000000000013,-75.61550000000014,6.15225,-75.61775000000013,0.2495
22,6.15,6.1545000000000005,-75.61550000000014,-75.61100000000015,6.15225,-75.61325000000014,0.2495
23,6.15,6.1545000000000005,-75.61100000000015,-75.60650000000015,6.15225,-75.60875000000014,0.2495
24,6.15,6.1545000000000005,-75.60650000000015,-75.60200000000016,6.15225,-75.60425000000015,0.2495
25,6.15,6.1545000000000005,-75.60200000000016,-75.59750000000017,6.15225,-75.59975000000016,0.2495
26,6.15,6.1545000000000005,-75.59750000000017,-75.59300000000017,6.15225,-75.59525000000016,0.2495
27,6.15,6.1545000000000005,-75.59300000000017,-75.58850000000018,6.15225,-75.59075000000017,0.2495
28,6.15,6.1545000000000005,-75.58850000000018,-75.58400000000019,6.15225,-75.58625000000018,0.2495
29,6.15,6.1545000000000005,-75.58400000000019,-75.5795000000002,6.15225,-75.58175000000018,0.2495
30,6.15,6.1545000000000005,-75.5795000000002,-75.5750000000002,6.15225,-75.57725000000019,0.2495
31,6.15,6.1545000000000005,-75.5750000000002,-75.57050000000021,6.15225,-75.5727500000002,0.2495
32,6.15,6.1545000000000005,-75.57050000000021,-75.56600000000022,6.15225,-75.5682500000002,0.2495
33,6.15,6.1545000000000005,-75.56600000000022,-75.56150000000022,6.15225,-75.56375000000021,0.2495
34,6.15,6.1545000000000005,-75.56150000000022,-75.55700000000023,6.15225,-75.55925000000022,0.2495
35,6.15,6.1545000000000005,-75.55700000000023,-75.55250000000024,6.15225,-75.55475000000023,0.2495
36,6.15,6.1545000000000005,-75.55250000000024,-75.54800000000024,6.15225,-75.55025000000023,0.2495
37,6.15,6.1545000000000005,-75.54800000000024,-75.54350000000025,6.15225,-75.54575000000024,0.2495
38,6.15,6.1545000000000005,-75.54350000000025,-75.53900000000026,6.15225,-75.54125000000025,0.2495
39,6.15,6.1545000000000005,-75.53900000000026,-75.53450000000026,6.15225,-75.53675000000025,0.2495
40,6.15,6.1545000000000005,-75.53450000000026,-75.53000000000027,6.15225,-75.53225000000026,0.2495
41,6.15,6.1545000000000005,-75.53000000000027,-75.52550000000028,6.15225,-75.52775000000027,0.2495
42,6.15,6.1545000000000005,-75.52550000000028,-75.52100000000029,6.15225,-75.52325000000027,0.2495
43,6.15,6.1545000000000005,-75.52100000000029,-75.51650000000029,6.15225,-75.51875000000028,0.2495
44,6.15,6.1545000000000005,-75.51650000000029,-75.5120000000003,6.15225,-75.51425000000029,0.2495
45,6.15,6.1545000000000005,-75.5120000000003,-75.5075000000003,6.15225,-75.5097500000003,0.2495
46,6.15,6.1545000000000005,-75.5075000000003,-75.50300000000031,6.15225,-75.5052500000003,0.2495
47,6.15,6.1545000000000005,-75.50300000000031,-75.49850000000032,6.15225,-75.50075000000031,0.2495
48,6.1545000000000005,6.159000000000001,-75.71,-75.7055,6.156750000000001,-75.70774999999999,0.2495
49,6.1545000000000005,6.159000000000001,-75.7055,-75.70100000000001,6.156750000000001,-75.70325,0.2495
50,6.1545000000000005,6.159000000000001,-75.70100000000001,-75.69650000000001,6.156750000000001,-75.69875,0.2495
51,6.1545000000000005,6.159000000000001,-75.69650000000001,-75.69200000000002,6.156750000000001,-75.69425000000001,0.2495
52,6.1545000000000005,6.159000000000001,-75.69200000000002,-75.68750000000003,6.156750000000001,-75.68975000000002,0.2495
