celda_id,total_hurtos,hora_promedio,hora_std,dia_promedio,edad_promedio,modalidad_comun,lugar_comun,año_inicio,año_fin,mes_comun,lat_centro,lon_centro,area_km2,densidad_hurtos,score_riesgo,nivel_riesgo,cluster
298.0,30,9.83,6.62,2.37,37.5,1,88,2014,2022,9,6.1792500000000015,-75.6402500000001,0.2495,120.24048096192385,30,BAJO,1.0
299.0,75,12.85,5.83,2.32,33.8,1,88,2015,2022,1,6.1792500000000015,-75.6357500000001,0.2495,300.6012024048096,55,MEDIO,1.0
300.0,15,8.93,7.97,2.13,34.33,1,88,2017,2022,7,6.1792500000000015,-75.63125000000011,0.2495,60.120240480961925,30,BAJO,1.0
310.0,2,7.0,0.0,4.0,46.0,5,59,2019,2019,11,6.1792500000000015,-75.58625000000018,0.2495,8.016032064128256,40,MEDIO,1.0
314.0,27,9.59,5.79,2.41,45.7,1,88,2008,2022,12,6.1792500000000015,-75.5682500000002,0.2495,108.21643286573146,40,MEDIO,1.0
315.0,112,16.37,5.49,2.77,34.19,1,20,2006,2022,5,6.1792500000000015,-75.56375000000021,0.2495,448.8977955911824,60,ALTO,0.0
316.0,38,12.71,6.67,3.32,41.92,1,88,2010,2022,5,6.1792500000000015,-75.55925000000022,0.2495,152.30460921843687,35,BAJO,1.0
317.0,34,11.32,6.35,2.12,36.44,1,88,2008,2022,5,6.1792500000000015,-75.55475000000023,0.2495,136.27254509018036,35,BAJO,1.0
318.0,4,18.0,2.0,1.25,38.0,1,88,2020,2022,2,6.1792500000000015,-75.55025000000023,0.2495,16.03206412825651,40,MEDIO,1.0
319.0,15,14.07,6.58,3.0,31.07,1,88,2021,2022,2,6.1792500000000015,-75.54575000000024,0.2495,60.120240480961925,25,BAJO,1.0
320.0,5,14.4,6.11,3.4,33.2,6,88,2014,2020,2,6.1792500000000015,-75.54125000000025,0.2495,20.04008016032064,30,BAJO,1.0
321.0,13,7.23,3.94,1.85,27.08,5,9,2017,2022,4,6.1792500000000015,-75.53675000000025,0.2495,52.104208416833664,40,MEDIO,1.0
339.0,7,14.14,2.34,1.86,27.29,6,88,2019,2022,2,6.183750000000002,-75.66725000000005,0.2495,28.0561122244489,35,BAJO,1.0
340.0,5,14.8,1.92,1.2,23.6,1,88,2021,2022,12,6.183750000000002,-75.66275000000006,0.2495,20.04008016032064,40,MEDIO,1.0
341.0,22,12.0,4.33,3.18,36.59,1,88,2014,2022,2,6.183750000000002,-75.65825000000007,0.2495,88.17635270541082,35,BAJO,1.0
342.0,169,12.57,6.15,2.98,34.85,1,88,2005,2022,10,6.183750000000002,-75.65375000000007,0.2495,677.3547094188377,55,MEDIO,1.0
343.0,187,11.11,6.57,3.2,34.07,1,88,2004,2022,10,6.183750000000002,-75.64925000000008,0.2495,749.498997995992,55,MEDIO,1.0
344.0,82,10.05,5.89,3.65,33.59,1,88,2004,2022,12,6.183750000000002,-75.64475000000009,0.2495,328.6573146292585,60,ALTO,1.0
345.0,69,11.83,6.73,2.96,32.14,1,88,2014,2022,7,6.183750000000002,-75.6402500000001,0.2495,276.55310621242484,50,MEDIO,1.0
346.0,36,11.36,7.38,3.17,37.92,1,88,2015,2022,5,6.183750000000002,-75.6357500000001,0.2495,144.28857715430863,30,BAJO,1.0
359.0,24,13.29,6.54,2.62,38.96,1,88,2017,2022,10,6.183750000000002,-75.57725000000019,0.2495,96.19238476953907,30,BAJO,1.0
360.0,355,14.34,6.49,3.02,36.54,1,88,2006,2022,10,6.183750000000002,-75.5727500000002,0.2495,1422.8456913827656,70,ALTO,0.0
361.0,145,14.01,6.03,2.86,36.39,1,88,2004,2022,11,6.183750000000002,-75.5682500000002,0.2495,581.1623246492986,55,MEDIO,0.0
362.0,124,14.06,6.31,2.46,37.11,1,88,2008,2022,5,6.183750000000002,-75.56375000000021,0.2495,496.9939879759519,55,MEDIO,0.0
363.0,77,12.56,6.68,3.18,34.39,1,88,2009,2022,1,6.183750000000002,-75.55925000000022,0.2495,308.61723446893785,55,MEDIO,0.0
364.0,53,11.77,7.09,3.15,34.77,1,88,2013,2022,5,6.183750000000002,-75.55475000000023,0.2495,212.4248496993988,55,MEDIO,0.0
365.0,47,12.83,6.64,3.02,33.19,1,88,2009,2022,10,6.183750000000002,-75.55025000000023,0.2495,188.37675350701403,55,MEDIO,0.0
366.0,49,14.18,7.51,3.69,31.0,1,88,2016,2022,9,6.183750000000002,-75.54575000000024,0.2495,196.3927855711423,50,MEDIO,0.0
367.0,19,13.58,5.23,2.37,39.53,1,88,2014,2021,7,6.183750000000002,-75.54125000000025,0.2495,76.15230460921843,35,BAJO,1.0
386.0,2,19.0,0.0,3.0,50.0,1,9,2020,2020,5,6.188250000000002,-75.66725000000005,0.2495,8.016032064128256,40,MEDIO,1.0
387.0,7,13.29,7.8,2.71,42.43,1,88,2015,2022,11,6.188250000000002,-75.66275000000006,0.2495,28.0561122244489,30,BAJO,1.0
388.0,12,10.5,5.74,3.58,34.25,1,88,2016,2022,4,6.188250000000002,-75.65825000000007,0.2495,48.09619238476954,35,BAJO,1.0
389.0,52,13.08,6.38,2.65,31.92,1,88,2014,2022,4,6.188250000000002,-75.65375000000007,0.2495,208.41683366733466,50,MEDIO,1.0
390.0,32,9.12,7.23,2.75,37.25,1,88,2011,2022,4,6.188250000000002,-75.64925000000008,0.2495,128.2565130260521,35,BAJO,1.0
391.0,27,13.59,7.13,2.78,36.0,1,88,2014,2022,3,6.188250000000002,-75.64475000000009,0.2495,108.21643286573146,30,BAJO,1.0
392.0,6,5.67,5.96,2.83,33.0,6,88,2014,2022,4,6.188250000000002,-75.6402500000001,0.2495,24.04809619238477,35,BAJO,1.0
